Rep,Step set size,Group size,Random group score,Super group score
5,2,2,0.0069721996322477,1.0
5,2,3,0.009146137882962004,1.0
5,2,4,0.01637867031001209,1.0
5,2,5,0.016816839735523288,1.0
5,2,6,0.01637867031001209,1.0
5,2,7,0.016816839735523288,1.0
5,2,8,1.0,1.0
5,2,9,1.0,1.0
5,2,10,1.0,0.9004017094017094
5,2,11,1.0,1.0
5,2,12,1.0,1.0
5,2,13,1.0,1.0
5,2,14,1.0,1.0
5,2,15,1.0,1.0
5,3,1,0.0,0.0
5,3,2,0.009121015196533891,0.8007012944273804
5,3,3,0.012168361343597901,0.8008998043903498
5,3,4,0.012181983279764361,0.8007173778874979
5,3,5,0.800913757878722,0.800841121495327
5,3,6,0.9004558139534883,0.6015424159227075
5,3,7,0.800855140186916,0.8008558749888224
5,3,8,1.0,0.7013006378172477
5,3,9,1.0,1.0
5,3,10,1.0,0.9003971962616824
5,3,11,1.0,0.800855140186916
5,3,12,1.0,0.8008453094692294
5,3,13,1.0,0.9004579439252336
5,3,14,1.0,0.7012970006520323
5,3,15,1.0,0.6017451138595794
5,4,1,0.0,0.0
5,4,2,0.013504873076216253,0.035640033751235575
5,4,3,0.0160548780767163,0.035446003900489305
5,4,4,0.014967259635880244,0.035446003900489305
5,4,5,0.03615453296235071,0.034094379185779025
5,4,6,0.9004723618090452,0.035649934741334585
5,4,7,1.0,0.8009032067385844
5,4,8,1.0,0.8009032067385844
5,4,9,1.0,0.9004554455445545
5,4,10,1.0,0.9004554455445545
5,4,11,1.0,1.0
5,4,12,1.0,0.9004874371859296
5,4,13,1.0,0.8009448444844484
5,4,14,1.0,0.8009448444844484
5,4,15,1.0,0.8009379094625881
5,5,1,0.0,0.0
5,5,2,0.011747910012676145,0.02150166568380976
5,5,3,0.024360186511261962,0.051313985832080744
5,5,4,0.027953185466329883,0.05833953838733628
5,5,5,0.019159435155338196,0.06445826257502596
5,5,6,0.900440594059406,0.05331478591208875
5,5,7,1.0,0.05245786253502197
5,5,8,1.0,0.05539765651441991
5,5,9,1.0,0.7014003900390039
5,5,10,1.0,0.7014155415541554
5,5,11,1.0,0.8009254425442544
5,5,12,1.0,0.7014006900690068
5,5,13,1.0,0.9004752475247525
5,5,14,1.0,1.0
5,5,15,1.0,1.0
5,6,1,0.0,0.0
5,6,2,0.011170893931645855,0.0238447571516137
5,6,3,0.012200719552526385,0.024808747772051023
5,6,4,0.01808556181641551,0.02390282442710329
5,6,5,0.01951864689878969,0.027652349667785618
5,6,6,0.016613930130565814,0.033069949642603055
5,6,7,1.0,0.033069949642603055
5,6,8,1.0,0.04114261946882738
5,6,9,1.0,0.03640328297593638
5,6,10,1.0,0.03640328297593638
5,6,11,1.0,0.03156492132217767
5,6,12,1.0,0.03782508392380369
5,6,13,1.0,1.0
5,6,14,1.0,1.0
5,6,15,1.0,1.0
6,1,1,0.0,1.0
6,1,2,0.008165919282511211,1.0
6,1,3,0.6016771300448431,1.0
6,1,4,1.0,1.0
6,1,5,1.0,1.0
6,1,6,1.0,1.0
6,1,7,1.0,1.0
6,1,8,1.0,1.0
6,1,9,1.0,1.0
6,1,10,1.0,1.0
6,1,11,1.0,1.0
6,1,12,1.0,1.0
6,1,13,1.0,1.0
6,1,14,1.0,1.0
6,1,15,1.0,1.0
6,2,1,0.0,1.0
6,2,2,0.006919062825175251,1.0
6,2,3,0.0132265302226651,1.0
6,2,4,0.01462993270858122,1.0
6,2,5,0.015170625241291712,1.0
6,2,6,0.015644558890580813,1.0
6,2,7,0.016601496689623872,1.0
6,2,8,0.016592426189159012,1.0
6,2,9,0.015172882068193089,1.0
6,2,10,0.01611849253986991,1.0
6,2,11,0.016601496689623872,1.0
6,2,12,0.015653629391045677,1.0
6,2,13,0.016132098290567207,1.0
6,2,14,1.0,1.0
6,2,15,1.0,1.0
6,3,1,0.0,0.0
6,3,2,0.011251973979454747,0.7014025620690684
6,3,3,0.01277724626453458,0.7012662698397321
6,3,4,0.8009947389398168,0.7011488487702774
6,3,5,0.801005074506645,0.6014354241495228
6,3,6,0.9004898989898991,0.8008746991104134
6,3,7,0.9004898989898991,0.9004898989898991
6,3,8,0.9005025906735751,0.9004410256410257
6,3,9,1.0,0.7013645981003124
6,3,10,1.0,0.8009769456220234
6,3,11,1.0,0.8009309246309246
6,3,12,1.0,0.9004410256410257
6,3,13,1.0,0.9004336734693877
6,3,14,1.0,0.7014261631328619
6,3,15,1.0,0.9004898989898991
6,4,1,0.0,0.0
6,4,2,0.010869947118256808,0.02609690675251805
6,4,3,0.01092612382946488,0.02609690675251805
6,4,4,0.024978302761971737,0.02609690675251805
6,4,5,1.0,1.0
6,4,6,1.0,1.0
6,4,7,1.0,0.7013773114375965
6,4,8,1.0,1.0
6,4,9,1.0,1.0
6,4,10,0.9004870466321243,1.0
6,4,11,1.0,0.7013773114375965
6,4,12,0.9004870466321243,0.701346223354695
6,4,13,1.0,0.900440414507772
6,4,14,0.9005157894736842,1.0
6,4,15,1.0,1.0
6,5,1,0.0,0.0
6,5,2,0.008218319723270605,0.020308816181400513
6,5,3,0.02494571869920273,0.022737601312098888
6,5,4,0.8008868441748118,0.02179834897565029
6,5,5,0.8009309771215023,0.031088546671454203
6,5,6,0.9004589371980677,0.027188636518713866
6,5,7,1.0,0.03534558976571621
6,5,8,0.9004589371980677,0.02814767473800972
6,5,9,1.0,0.031088546671454203
6,5,10,1.0,0.031997970718097166
6,5,11,0.9004589371980677,1.0
6,5,12,1.0,1.0
6,5,13,1.0,1.0
6,5,14,1.0,1.0
6,5,15,1.0,1.0
6,6,1,0.0,0.0
6,6,2,0.015322810514231977,0.018061354736694603
6,6,3,0.021759690246699943,0.018061354736694603
6,6,4,0.04138212809450235,0.018061354736694603
6,6,5,0.030517631780006032,0.05457099118766349
6,6,6,0.026706447323660287,0.033544335268829044
6,6,7,0.021301041918254885,0.800839611104317
6,6,8,0.030517631780006032,0.8008457199528916
6,6,9,0.032165538232751194,0.9004520547945205
6,6,10,0.032165538232751194,0.900393665158371
6,6,11,0.026760132827345788,1.0
6,6,12,0.04138212809450235,0.8008427392324451
6,6,13,1.0,0.8008427392324451
6,6,14,1.0,0.900393665158371
6,6,15,1.0,0.90044
7,1,1,0.0,1.0
7,1,2,0.006772727272727273,1.0
7,1,3,0.006772727272727273,1.0
7,1,4,0.00903846153846154,1.0
7,1,5,0.01083916083916084,1.0
7,1,6,0.01083916083916084,1.0
7,1,7,1.0,1.0
7,1,8,1.0,1.0
7,1,9,1.0,1.0
7,1,10,1.0,1.0
7,1,11,1.0,1.0
7,1,12,1.0,1.0
7,1,13,1.0,1.0
7,1,14,1.0,1.0
7,1,15,1.0,1.0
7,2,1,0.0,1.0
7,2,2,0.011331747771325087,1.0
7,2,3,0.009047075632812571,1.0
7,2,4,0.008787495318254785,1.0
7,2,5,0.013886960254977303,1.0
7,2,6,0.018589248679677893,1.0
7,2,7,0.018583885023810053,1.0
7,2,8,0.015612282143389323,1.0
7,2,9,0.013924518430309151,1.0
7,2,10,0.018149291368877413,1.0
7,2,11,0.016883468584067286,1.0
7,2,12,0.01604687579832196,1.0
7,2,13,0.013917366889152034,1.0
7,2,14,0.016878104928199446,1.0
7,2,15,1.0,1.0
7,3,1,0.0,0.0
7,3,2,0.013775223223413588,0.6014519097874733
7,3,3,0.014922993105523068,0.6014519097874733
7,3,4,0.01681200010348569,0.9003944954128441
7,3,5,0.023288217660696366,0.7012742665112051
7,3,6,1.0,0.900350710900474
7,3,7,1.0,0.8008065248539624
7,3,8,1.0,1.0
7,3,9,1.0,0.7012837853982274
7,3,10,1.0,1.0
7,3,11,1.0,1.0
7,3,12,1.0,0.9004532710280374
7,3,13,1.0,0.9004532710280374
7,3,14,1.0,1.0
7,3,15,1.0,1.0
7,4,1,0.0,0.0
7,4,2,0.00733235148351703,0.024490608563700157
7,4,3,0.008154193863493883,0.022226534534920246
7,4,4,0.012497419884069797,0.8008252589240824
7,4,5,0.01834743376567165,0.7012667003655239
7,4,6,0.02012538951343479,0.7012441778430013
7,4,7,0.02101427840232368,0.8008458858858859
7,4,8,1.0,0.8008622559210794
7,4,9,1.0,0.9004189189189189
7,4,10,1.0,0.8008397333985569
7,4,11,1.0,0.9004189189189189
7,4,12,1.0,1.0
7,4,13,1.0,0.7012748119748912
7,4,14,1.0,0.7012836795868977
7,4,15,1.0,0.800817000498256
7,5,1,0.0,0.0
7,5,2,0.008786662535295722,0.025815844500559505
7,5,3,0.012250034289696152,0.028215219576365448
7,5,4,0.01719880895769279,1.0
7,5,5,0.012883948468279593,1.0
7,5,6,0.01326966374461272,0.900421052631579
7,5,7,0.01291026303535503,1.0
7,5,8,0.015298088350677197,1.0
7,5,9,0.026333827685820703,1.0
7,5,10,0.023435006353109765,1.0
7,5,11,0.024898420987256108,0.900421052631579
7,5,12,0.024898420987256108,0.900421052631579
7,5,13,1.0,0.900421052631579
7,5,14,1.0,1.0
7,5,15,1.0,0.9004497607655502
7,6,1,0.0,0.0
7,6,2,0.015140160850710621,0.03584698711039556
7,6,3,0.0236252160921301,0.04948661510346304
7,6,4,0.03915833241524544,0.7011300686363388
7,6,5,0.044975346103404805,0.8007399341071908
7,6,6,0.046378933547350995,0.8007750902813603
7,6,7,1.0,0.7011300686363388
7,6,8,1.0,1.0
7,6,9,1.0,0.900390134529148
7,6,10,1.0,0.900390134529148
7,6,11,1.0,1.0
7,6,12,1.0,1.0
7,6,13,1.0,1.0
7,6,14,1.0,0.9003849557522123
7,6,15,1.0,1.0
8,1,1,0.0,1.0
8,1,2,0.010437062937062938,1.0
8,1,3,1.0,1.0
8,1,4,0.8006538461538462,1.0
8,1,5,0.800625874125874,1.0
8,1,6,0.8006538461538462,1.0
8,1,7,0.9003251748251749,1.0
8,1,8,0.9003251748251749,1.0
8,1,9,1.0,1.0
8,1,10,1.0,1.0
8,1,11,1.0,1.0
8,1,12,1.0,1.0
8,1,13,1.0,1.0
8,1,14,1.0,1.0
8,1,15,1.0,1.0
