Rep,Group Size,Random Group Score,Random Group Overlap,Super Group Score,Super Group Overlap
2,4.0,0.01727728343444945,4.0,0.820754205116851,9.0
2,5.0,0.013775865380383324,6.0,0.800827324961136,12.0
2,6.0,0.016647929390611094,8.0,0.7212173412985576,15.0
2,7.0,0.01643903091499457,11.0,0.8406995145247887,17.0
2,8.0,0.92036673533416,13.0,0.8606221082026255,20.0
2,9.0,0.8805493716299031,16.0,0.8407157072731372,22.0
2,10.0,1.0,18.0,0.8805351812661024,25.0
2,11.0,1.0,21.0,0.8207879027634742,27.0
2,12.0,1.0,24.0,0.9203617130809546,30.0
2,13.0,1.0,27.0,0.9402551479740515,32.0
2,14.0,1.0,30.0,0.9800902912621359,34.0
2,15.0,1.0,33.0,0.9402811889482247,36.0
3,1.0,0.012084509477434531,0.0,0.9601345414994331,0.0
3,2.0,0.017622482434426323,1.0,0.9402072593493435,3.0
3,3.0,0.019175588611108695,3.0,0.9402070468759027,6.0
3,4.0,0.019405897999284206,5.0,0.9800622568093386,9.0
3,5.0,0.019836916510871473,6.0,0.9202753008441568,12.0
3,6.0,0.0227601033995639,8.0,0.9601485022543388,15.0
3,7.0,0.020518131499786704,11.0,0.980057258064516,17.0
3,8.0,0.02110053016770495,13.0,0.9800622568093386,20.0
3,9.0,0.021279987746943858,16.0,0.9800622568093386,23.0
3,10.0,0.02174809524214554,19.0,0.9601352726823543,26.0
3,11.0,1.0,21.0,0.9800622568093386,29.0
3,12.0,1.0,24.0,0.9601195148738546,32.0
3,13.0,1.0,27.0,0.9601195148738546,35.0
3,14.0,1.0,30.0,1.0,38.0
3,15.0,1.0,33.0,1.0,40.0
4,1.0,0.005991974947283212,0.0,0.8804678111756297,0.0
4,2.0,0.008117438746970594,0.0,0.8804678111756297,3.0
4,3.0,0.007186911262301895,3.0,0.8206638209733541,6.0
4,4.0,0.0072828534432248515,6.0,0.8207209413032289,9.0
4,5.0,0.008460595790647693,7.0,0.880445587216976,12.0
4,6.0,0.012764837023142567,9.0,0.8405844525753726,15.0
4,7.0,0.015179176284594637,11.0,0.8804853423716164,17.0
4,8.0,0.017182984568931237,14.0,0.980077130044843,20.0
4,9.0,0.017539099752095094,17.0,0.8804405588858036,22.0
4,10.0,0.017716671633500655,20.0,0.8406381584006326,25.0
4,11.0,0.9601703008849556,22.0,0.8406181855958362,28.0
4,12.0,0.8805143549468751,25.0,0.9402379826254826,30.0
4,13.0,0.9402614900820102,28.0,0.960163963963964,32.0
4,14.0,0.9402528648648648,31.0,0.9601578564405113,35.0
4,15.0,0.9800880000000001,34.0,0.9203261507936508,38.0
5,1.0,0.012914802361636628,0.0,0.920362631840796,0.0
5,2.0,0.6615704098369118,1.0,0.8805227661691544,3.0
5,3.0,0.7013778890642693,2.0,0.8805496318407962,6.0
5,4.0,0.9004636558458218,3.0,0.880537592039801,9.0
5,5.0,0.8208375569389236,6.0,0.8008867405266815,12.0
5,6.0,0.9203697054082294,8.0,0.7211768826802354,15.0
5,7.0,0.9402730895522389,11.0,0.8407061540038502,17.0
5,8.0,0.9203555607949605,14.0,0.8207664305629918,20.0
5,9.0,0.9601745820895523,16.0,0.9203505520910299,22.0
5,10.0,1.0,18.0,0.9203386069651741,25.0
5,11.0,1.0,21.0,0.9601855174129352,28.0
5,12.0,1.0,24.0,0.8805371489089207,31.0
5,13.0,1.0,27.0,0.9004645869169005,33.0
5,14.0,1.0,30.0,1.0,35.0
5,15.0,1.0,33.0,0.9402635370119101,38.0
6,1.0,0.012687853849996995,0.0,0.8406149817790883,0.0
6,2.0,0.012803795745468154,1.0,0.8007530080948778,3.0
6,3.0,0.01755835337995638,2.0,0.8206698326828437,6.0
6,4.0,0.9203156867079281,4.0,0.7808838056323024,9.0
6,5.0,0.9601690344827586,6.0,0.8605659090847351,12.0
6,6.0,0.8605684537695205,9.0,0.8007925556690095,15.0
6,7.0,0.9601618415260456,11.0,0.8007735342227348,17.0
6,8.0,1.0,12.0,0.7211128555797415,20.0
6,9.0,1.0,15.0,0.8804720599608138,23.0
6,10.0,1.0,18.0,0.8206677250561627,26.0
6,11.0,1.0,21.0,0.8008159144223062,29.0
6,12.0,1.0,24.0,0.78081823662317,32.0
6,13.0,1.0,27.0,0.9004024007798226,34.0
6,14.0,1.0,30.0,0.8804798630057582,36.0
6,15.0,1.0,33.0,0.920305511606599,38.0
7,1.0,0.005693463500151016,0.0,0.7608137492494333,0.0
